"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","0","10","50","0","2023","1","",154111,2041023,2056087,2059653,31034848235,11381874485,65424337,1163,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",7535,5.1,61658,3.1,53527,2.7,56885,2.8,3321780731,12.0,673004139,6.3,-64632087,-49.7,94,8.8
"01000","1","10","51","0","2023","1","",1255,55768,56077,56231,1328849544,0,0,1825,"",1.58,1.43,1.43,1.43,1.76,0.00,0.00,1.23,"",4,0.3,583,1.1,1083,2.0,1355,2.5,153830214,13.1,0,0.0,0,0.0,182,11.1
"01000","2","10","51","0","2023","1","",1432,95746,97394,98094,1627300803,222666,445,1289,"",1.52,1.56,1.55,1.56,1.73,0.01,0.03,1.11,"",52,3.8,1418,1.5,1403,1.5,1900,2.0,241468744,17.4,-6704,-2.9,-1561,-77.8,173,15.5
"01000","3","10","51","0","2023","1","",3754,216472,217092,218382,2781956647,106242668,345510,985,"",1.67,1.12,1.11,1.11,1.16,0.92,1.17,1.04,"",12,0.3,4341,2.0,4963,2.3,5159,2.4,259898793,10.3,6480232,6.5,-529854,-60.5,72,7.9
"01000","5","10","51","0","2023","1","",147670,1673037,1685524,1686946,25296741241,11275409151,65078382,1157,"",0.98,0.96,0.96,0.96,0.94,1.00,1.00,0.98,"",7467,5.3,55316,3.4,46078,2.8,48471,3.0,2666582980,11.8,666530611,6.3,-64100672,-49.6,90,8.4
"01000","8","10","96","0","2023","1","",6441,367986,370563,372707,5738106994,106465334,345955,1192,"",1.62,1.25,1.24,1.25,1.40,0.74,1.10,1.12,"",68,1.1,6342,1.8,7449,2.1,8414,2.3,655197751,12.9,6473528,6.5,-531415,-60.6,115,10.7
"01001","0","10","70","0","2023","1","",1053,11608,11732,11764,143814131,56210438,379858,945,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",43,4.3,390,3.5,432,3.8,465,4.1,15975127,12.5,3800038,7.3,-306350,-44.6,73,8.4
"01001","1","10","71","0","2023","1","",10,90,88,92,1563860,0,0,1337,"",1.84,0.41,0.39,0.41,0.45,0.00,0.00,1.11,"",0,0.0,16,21.6,3,3.5,-2,-2.1,250882,19.1,0,0.0,0,0.0,139,11.6
"01001","2","10","71","0","2023","1","",20,562,541,542,8695126,0,0,1220,"",3.11,1.61,1.51,1.51,1.99,0.00,0.00,1.29,"",2,11.1,11,2.0,-9,-1.6,7,1.3,929818,12.0,0,0.0,0,0.0,125,11.4
"01001","3","10","71","0","2023","1","",32,1842,1823,1862,22387373,130075,260,935,"",2.08,1.67,1.63,1.66,2.01,0.23,0.15,1.21,"",0,0.0,13,0.7,-9,-0.5,5,0.3,2261062,11.2,15176,13.2,-544,-67.7,93,11.0
"01001","5","10","71","0","2023","1","",991,9114,9280,9268,111167772,56080363,379598,927,"",0.97,0.92,0.93,0.92,0.89,1.01,1.00,0.97,"",41,4.3,350,4.0,447,5.1,455,5.2,12533365,12.7,3784862,7.2,-305806,-44.6,65,7.5
"01003","0","10","70","0","2023","1","",8100,79198,80161,81580,963176238,447517507,2492648,923,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",495,6.5,2644,3.5,2425,3.1,3063,3.9,116935653,13.8,32070978,7.7,-2299686,-48.0,84,10.0
"01003","1","10","71","0","2023","1","",33,385,395,396,7020231,0,0,1378,"",0.79,0.25,0.26,0.25,0.30,0.00,0.00,1.17,"",-2,-5.7,-10,-2.5,11,2.9,7,1.8,1167148,19.9,0,0.0,0,0.0,222,19.2
"01003","2","10","71","0","2023","1","",38,1018,1088,1070,13250315,0,0,963,"",0.77,0.43,0.44,0.43,0.45,0.00,0.00,1.04,"",1,2.7,11,1.1,16,1.5,-1,-0.1,2127073,19.1,0,0.0,0,0.0,148,18.2
"01003","3","10","71","0","2023","1","",91,9256,9332,9414,118102162,5220475,11193,973,"",0.77,1.23,1.22,1.21,1.58,1.15,0.99,1.29,"",0,0.0,355,4.0,366,4.1,409,4.5,15330114,14.9,517898,11.0,-22407,-66.7,90,10.2
"01003","5","10","71","0","2023","1","",7938,68539,69346,70700,824803530,442297032,2481455,913,"",1.01,1.01,1.01,1.01,0.99,1.00,1.00,0.98,"",496,6.7,2288,3.5,2032,3.0,2648,3.9,98311318,13.5,31553080,7.7,-2277279,-47.9,81,9.7
"01005","0","10","70","0","2023","1","",586,7778,7781,7727,85482131,40931750,196985,847,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-13,-2.2,163,2.1,-21,-0.3,-46,-0.6,5999068,7.5,2059573,5.3,-268152,-57.7,56,7.1
"01005","1","10","71","0","2023","1","",9,49,56,57,904962,0,0,1289,"",2.98,0.33,0.38,0.39,0.43,0.00,0.00,1.19,"",0,0.0,-4,-7.5,3,5.7,4,7.5,145532,19.2,0,0.0,0,0.0,187,17.0
